duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
444171,0.446,0.651,5,-13.349,1,0.312,0.642,0.000421,0.882,0.597,123.092,4,blues
186513,0.584,0.57,1,-7.478,1,0.0289,0.479,0,0.1,0.331,94.993,1,blues
196466,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,4,blues
257828,0.246,0.63,0,-5.551,1,0.0336,0.00084,0.0088,0.292,0.211,126.457,4,blues
198762,0.486,0.892,7,-3.529,1,0.0606,0.0774,0,0.0532,0.361,72.984,4,blues
169680,0.461,0.663,0,-9.278,1,0.0869,0.39,0,0.422,0.769,135.35,4,blues
214400,0.613,0.825,8,-2.717,0,0.187,0.245,0,0.245,0.402,150.072,4,blues
241120,0.884,0.414,4,-9.98,1,0.065,0.462,0,0.22,0.696,91.998,4,blues
212546,0.849,0.803,5,-4.514,0,0.0616,0.0745,3.51E-05,0.0621,0.962,111.008,4,blues
199840,0.479,0.915,0,-2.942,1,0.0755,0.057,0.000367,0.284,0.375,152.016,4,blues
256706,0.773,0.831,0,-5.383,1,0.0489,0.00499,1.40E-06,0.0531,0.628,139.053,4,blues
126004,0.577,0.683,5,-5.873,1,0.0514,0.0638,1.04E-06,0.194,0.745,155.046,4,blues
280320,0.695,0.554,0,-10.784,1,0.0335,0.198,0.0146,0.314,0.846,139.955,4,blues
279293,0.762,0.474,4,-10.47,0,0.0406,0.059,5.64E-05,0.279,0.845,96.263,4,blues
267946,0.837,0.38,7,-13.341,0,0.064,0.541,0.00789,0.198,0.892,104.995,4,blues
256342,0.674,0.751,4,-4.672,0,0.0359,0.181,0,0.191,0.471,106.007,4,blues
243266,0.43,0.141,0,-16.376,1,0.0286,0.757,0.000499,0.127,0.143,93.577,3,blues
381421,0.309,0.37,0,-10.991,1,0.032,0.866,0.529,0.111,0.176,128.762,4,blues
235346,0.451,0.692,9,-7.016,1,0.04,0.000614,0.0104,0.11,0.533,170.027,4,blues
181840,0.653,0.402,0,-11.785,1,0.0476,0.623,0.814,0.112,0.453,88.643,4,blues
152000,0.75,0.795,5,-4.303,1,0.0396,0.0843,0,0.235,0.777,120.027,4,blues
187666,0.262,0.356,0,-8.031,0,0.0303,0.613,0,0.175,0.426,174.176,3,blues
239830,0.905,0.569,4,-4.481,0,0.0829,0.0349,0,0.458,0.704,91.994,4,blues
361226,0.716,0.816,5,-6.163,1,0.0544,0.0442,0.00142,0.0442,0.834,125.631,4,blues
226000,0.504,0.907,0,-5.491,0,0.066,0.00017,0.000161,0.187,0.418,120.017,4,blues
263266,0.428,0.564,0,-6.179,1,0.038,0.153,0,0.0532,0.452,202.29,3,blues
354626,0.751,0.64,11,-7.539,0,0.0364,0.282,7.89E-05,0.0692,0.792,118.446,4,blues
290240,0.967,0.666,7,-4.065,1,0.161,0.177,0.000748,0.0512,0.897,116.013,4,blues
383502,0.448,0.421,4,-6.959,1,0.0412,0.507,2.28E-05,0.0707,0.367,146.427,3,blues
241075,0.882,0.55,9,-6.004,1,0.0594,0.014,0.00434,0.0821,0.838,141.094,4,blues
205343,0.495,0.529,2,-6.04,0,0.0296,0.316,0.000146,0.222,0.452,81.961,4,blues
209520,0.578,0.836,2,-6.607,1,0.0512,0.163,1.36E-06,0.0583,0.932,167.026,4,blues
