chroma_stft_mean,chroma_stft_var,melspectrograma_mean,melspectrograma_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_contrast_mean,spectral_contrast_var,spectral_flatness_mean,spectral_flatness_var,spectral_rolloff_mean,spectral_rolloff_var,tonnetz_mean,tonnetz_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,genre
0.3501285,0.08877166,4.4255424,739.8844,0.13018432,0.00282838,1784.122641,129745.4845,2002.412407,85834.41036,20.5232891,76.80119101,0.004495574,3.03E-05,3805.72303,901252.9167,0.006427743,0.004309653,0.083044821,0.000766946,123.046875,blues
0.3408494,0.09497618,2.6534398,300.07416,0.09590782,0.00237272,1530.261767,375915.5085,2038.987608,213905.103,20.67248576,67.86184506,0.002298098,2.35E-05,3550.713616,2978310.904,0.029379384,0.004747531,0.056039809,0.001447521,107.6660156,blues
0.36353773,0.08525664,7.2538414,871.40845,0.17547321,0.002750858,1552.832481,156471.011,1747.754087,76295.41346,22.19129198,76.1225978,0.002635016,1.12E-05,3042.410115,784130.8744,0.024222329,0.010467692,0.076291207,0.001006829,161.4990234,blues
0.40485436,0.09399866,6.2075453,4710.556,0.14104027,0.006347602,1070.153418,184366.0094,1596.422565,166551.8443,21.4236211,63.38676322,0.00095489,2.66E-06,2184.879029,1493077.849,0.026662878,0.01793975,0.033308863,0.000422759,172.265625,blues
0.30852598,0.08784315,2.1063309,165.5275,0.09150122,0.002305285,1835.128513,343249.4957,1748.410759,88378.70449,21.45961803,63.03389242,0.003240217,1.90E-05,3579.957471,1572336.299,-0.020947699,0.010100594,0.101460539,0.001954125,135.9991776,blues
0.30252185,0.087551296,2.9151483,809.5033,0.103452876,0.003981162,1832.011597,1030483.831,1729.580805,201846.0741,22.54261551,66.88354956,0.003058888,4.20E-05,3481.467631,3274386.196,0.005130274,0.018900928,0.094041534,0.006233196,112.3471467,blues
0.29142597,0.09398485,5.8821964,2461.822,0.14175196,0.008782076,1459.469691,438024.9981,1389.068446,185156.3212,23.42114999,49.57901696,0.000975644,8.29E-06,2795.910729,1621507.81,-0.002783598,0.023418321,0.073052237,0.001909171,123.046875,blues
0.30737153,0.09285334,4.828115,1414.572,0.13176751,0.005531931,1451.859414,449601.6407,1577.567116,168197.5995,22.43554729,52.46994715,0.001438775,1.03E-05,2955.319717,1629557.414,-0.011055528,0.011757026,0.061442246,0.001848816,92.28515625,blues
0.40891296,0.086500056,4.9438577,857.54156,0.14232728,0.001503119,1719.463366,163308.433,2031.829366,105565.9243,22.37198971,89.260385,0.002596804,9.28E-06,3782.441191,1262984.568,0.023744525,0.005574009,0.064024888,0.000731482,83.35433468,blues
0.27396762,0.09231063,2.3872306,603.80347,0.08128055,0.004346177,1817.23059,298141.4244,1973.792039,114140.1445,21.15661982,63.30320877,0.002710847,1.03E-05,3943.831966,1366784.347,0.018671668,0.016173205,0.079174824,0.001377659,129.1992188,blues
0.30396983,0.09469686,6.661311,4628.7188,0.14278811,0.009196652,1410.023423,205639.1703,1512.304655,145026.0608,21.08769741,67.83339038,0.001245921,3.84E-06,2765.96742,1427723.415,0.013724503,0.012065155,0.062958826,0.000441534,161.4990234,blues
0.36588737,0.10200271,1.6110626,404.25354,0.06570574,0.002499327,1352.74271,511953.3554,1756.882097,220316.5829,20.79772916,53.89880322,0.003281126,7.58E-05,2880.911092,2932944.117,0.051075697,0.020586048,0.043930585,0.001895712,161.4990234,blues
0.26933804,0.0939012,3.9477363,1467.9072,0.118989594,0.004055326,1360.685601,257080.6336,1567.299469,44995.6038,22.12638857,45.42465601,0.000771528,1.20E-06,2738.830255,953044.8056,-0.021953716,0.014208231,0.069095007,0.002380562,92.28515625,blues
0.26491037,0.091197476,3.943913,2268.546,0.113129914,0.00419274,1324.527825,171556.8843,1827.850132,78336.96974,21.41024308,50.83942936,0.001199246,1.66E-06,2711.484919,1076354.558,-0.038549214,0.006956269,0.051401703,0.001255388,107.6660156,blues
0.32889304,0.10805751,1.4870899,327.9077,0.066998236,0.002711674,1171.967432,147268.4565,1705.37013,96499.73884,21.61981567,42.58124997,0.000472816,1.60E-07,2344.98747,877107.6286,-0.011869147,0.008034138,0.045036676,0.001559971,151.9990809,blues
0.26973152,0.09497305,1.953257,568.64026,0.0806058,0.002830632,1420.438572,199934.3831,1731.176853,81312.15276,21.35925266,44.75323935,0.001107854,1.29E-06,2930.23928,699900.4202,-0.01560361,0.007430909,0.063701255,0.00194099,99.38401442,blues
0.30818358,0.10034819,1.9273266,294.72607,0.081422575,0.002639706,1455.072634,152296.7901,1826.043339,116760.5826,21.05561063,50.1018224,0.00130429,1.29E-06,3010.010389,1010269.497,0.007143574,0.007759515,0.061344061,0.001418798,103.359375,blues
